language,source,shard,rows,chars,tokens
en,fineweb-edu,000_00000.parquet,726000,3451992934,737265767
en,fineweb-edu,001_00000.parquet,729000,3454339231,736145086
en,fineweb-edu,002_00000.parquet,727000,3462297503,736024558
en,fineweb-edu,003_00000.parquet,734000,3461584669,734838517
en,fineweb-edu,004_00000.parquet,745000,3441934906,734021240
en,fineweb-edu,005_00000.parquet,738000,3441866565,736264471
en,fineweb-edu,006_00000.parquet,732000,3448501263,738184890
en,wikipedia,train-00000-of-00041.parquet,156289,700453628,167330428
en,wikipedia,train-00001-of-00041.parquet,156289,583427150,142026417
en,wikipedia,train-00002-of-00041.parquet,156289,544476434,131911954
en,wikipedia,train-00003-of-00041.parquet,156289,548274116,134152533
en,wikipedia,train-00004-of-00041.parquet,156289,509678603,124125582
hi,sangraha,data-0.parquet,174763,387733221,97686971
hi,sangraha,data-1.parquet,174763,383448413,96686573
hi,sangraha,data-10.parquet,174763,384616772,96910645
hi,sangraha,data-11.parquet,174763,384516883,96960579
hi,sangraha,data-12.parquet,174763,382695278,96515789
hi,sangraha,data-13.parquet,174762,379766857,95748002
hi,sangraha,data-14.parquet,174763,385221543,97210686
hi,sangraha,data-15.parquet,174762,380336002,95905322
hi,sangraha,data-16.parquet,174763,384650379,97016291
hi,sangraha,data-17.parquet,160929,353594425,89163740
hi,sangraha,data-18.parquet,174763,386695464,97455232
hi,sangraha,data-19.parquet,174763,386464122,97425010
hi,sangraha,data-2.parquet,174762,378534349,95389856
hi,sangraha,data-20.parquet,174763,385788050,97214659
hi,sangraha,data-21.parquet,174763,383965907,96781300
hi,sangraha,data-22.parquet,174763,380721606,96055886
hi,sangraha,data-23.parquet,174763,387900894,97803511
hi,sangraha,data-24.parquet,174763,383725540,96617574
hi,sangraha,data-25.parquet,174763,383990756,96795543
hi,sangraha,data-26.parquet,174763,384852162,96970408
hi,sangraha,data-27.parquet,174763,380478709,96010172
hi,sangraha,data-28.parquet,174763,382851212,96523021
hi,sangraha,data-29.parquet,174763,382819064,96492496
hi,sangraha,data-3.parquet,174763,385640487,97267705
hi,sangraha,data-30.parquet,174763,386325983,97310795
hi,sangraha,data-31.parquet,160929,352354738,88893952
hi,sangraha,data-32.parquet,174763,384785817,96948099
hi,sangraha,data-33.parquet,174763,383252048,96623825
hi,sangraha,data-34.parquet,174763,384519479,96982895
hi,sangraha,data-35.parquet,160929,353146825,89114866
hi,sangraha,data-36.parquet,174762,385328568,97119966
hi,sangraha,data-37.parquet,174762,381353096,96197041
hi,sangraha,data-38.parquet,174763,382606520,96611324
hi,sangraha,data-39.parquet,174763,385980723,97318041
hi,sangraha,data-4.parquet,174763,382455480,96452589
hi,sangraha,data-40.parquet,174762,381579897,96272651
hi,sangraha,data-41.parquet,174763,384255272,97000074
hi,sangraha,data-42.parquet,174762,383349192,96618770
hi,sangraha,data-43.parquet,174762,385948182,97287776
hi,sangraha,data-44.parquet,174763,384213469,96839630
hi,sangraha,data-45.parquet,174762,386641985,97393204
hi,sangraha,data-46.parquet,174762,382231890,96482683
hi,sangraha,data-47.parquet,174763,382123158,96342297
hi,sangraha,data-48.parquet,174763,382132172,96380147
hi,sangraha,data-49.parquet,174763,388589821,97971080
hi,sangraha,data-5.parquet,174763,387045788,97557845
hi,sangraha,data-50.parquet,174762,382810656,96420760
hi,sangraha,data-51.parquet,174763,384426825,96964227
hi,sangraha,data-52.parquet,174762,384397245,96854582
hi,sangraha,data-53.parquet,174763,385288494,97207792
hi,sangraha,data-54.parquet,174763,381412124,96139322
hi,sangraha,data-55.parquet,174762,384511553,96949771
hi,sangraha,data-56.parquet,174763,381754246,96282418
hi,sangraha,data-57.parquet,174763,379290335,95590894
hi,sangraha,data-58.parquet,174763,383853411,96859232
hi,sangraha,data-59.parquet,174763,383975303,96864221
hi,sangraha,data-6.parquet,174763,380237222,95878351
hi,sangraha,data-60.parquet,160929,353739584,89179322
hi,sangraha,data-61.parquet,174763,386449645,97480387
hi,sangraha,data-62.parquet,174762,382015673,96337338
